"Sample,Name",Group,Th,Al,K,Ca,Sc,Ti,Mn,Fe,Ni,Cu,Zn,Ga,Ge,Se,Br,Rb,Sr,Y,Mo,Pd,I,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,Mg
S1_R3 H4 BHBC/F/1,bhb,0.04257,59.35694,32976.65865,51080.80964,0.87943,7.45528,361.75109,613.87231,2.83624,42.41683,1340.03478,11.07032,0.54402,6.58705,35.68302,55.51603,652.16540,0.07236,1.64263,0.26792,13.82958,510.14876,0.09963,0.10950,0.01840,0.04949,0.03601,0.04069,0.06017,0.00689,0.03578,0.01112,0.02017,0.00840,0.02712,0.00841,0.03661,36971.16387
S1_R5 H4 BHBC/F/2,bhb,0.03330,65.82391,34647.13346,71079.48804,0.69479,8.59150,325.46049,575.48841,2.76267,42.36118,1288.23068,12.57057,0.70403,9.62674,34.60453,49.09280,810.16522,0.06707,1.57542,0.29125,16.35329,484.89497,0.11183,0.11020,0.01910,0.06527,0.05408,0.05717,0.06608,0.00734,0.05868,0.01249,0.02492,0.00905,0.04877,0.01044,0.01036,42998.89830
S1_R3 H4 PM1/F/1,pm,0.01815,34.34429,45444.83166,33779.53930,0.86126,10.18829,347.99692,420.52936,3.01452,62.81815,350.61982,2.08446,0.79778,9.62596,38.35065,139.21557,394.74924,0.05613,12.21530,0.29280,19.51940,79.78712,0.09730,0.19318,0.01588,0.08465,0.06893,0.01659,0.05105,0.00990,0.04736,0.01533,0.02950,0.01014,0.03339,0.00645,0.01940,30268.12518
S1_R5 H4 PM1/F/2,pm,0.01050,27.05273,36610.80621,33097.13760,0.82745,10.85750,951.45084,414.59016,2.76067,77.68988,373.33347,2.00132,0.78153,6.13627,35.38402,134.77316,320.83928,0.11596,12.91521,0.07764,16.64591,97.11544,0.11656,0.13500,0.01906,0.08252,0.04313,0.01777,0.04579,0.00886,0.03043,0.01212,0.02820,0.00902,0.06608,0.00970,0.00938,33383.38901
S1_R3 H4 PM3/F,pm,0.06194,39.07178,40770.28157,36235.65710,0.82303,8.19123,318.15330,435.39301,11.07938,88.21099,408.41619,2.75847,0.73637,8.25422,40.51708,142.75402,377.33717,0.11591,11.81617,0.08634,18.30047,99.03412,0.11043,0.14915,0.01814,0.10494,0.03934,0.02000,0.04378,0.00903,0.04263,0.00944,0.03656,0.00847,0.04607,0.01219,0.01361,31336.02687
S1_R3 H4 PM3/B1,pm,0.02475,31.02151,29934.93611,39587.54250,1.10985,9.08118,723.76091,503.78447,3.65917,45.05728,446.41480,1.45102,1.05777,7.29917,24.67738,128.12990,404.27568,0.06109,8.16755,0.10735,15.77994,56.29706,0.09067,0.16565,0.02557,0.06843,0.04609,0.01382,0.04845,0.00448,0.05125,0.01553,0.03658,0.00782,0.04391,0.00842,0.01123,27582.54065
S1_R3 H4 PM3/B2,pm,0.03322,32.58844,37560.50546,42738.60074,0.91906,6.71299,322.95710,421.81098,5.45667,84.14177,430.59898,2.01682,0.85552,3.11179,34.13353,128.92553,566.13349,0.08239,7.17973,0.11923,18.53394,77.11987,0.13581,0.21102,0.02214,0.07089,0.05243,0.02600,0.05927,0.00823,0.04708,0.01575,0.05308,0.01083,0.03044,0.00812,0.00861,33574.74781
S1_R2 H5 NTH1/1,nth,0.01473,36.20754,15533.29784,59390.38100,0.84392,9.03133,388.72732,613.06617,2.64232,106.13688,436.23648,2.99876,0.56861,7.56752,38.21679,11.72138,515.19751,0.08525,2.21021,0.19681,11.11378,128.13300,0.12959,0.38428,0.02087,0.09666,0.07942,0.02755,0.04463,0.00614,0.05621,0.01398,0.02938,0.00775,0.05408,0.01015,0.01412,18382.35152
S1_R2 H5 NTH1/2,nth,0.05764,42.22486,18329.13146,71641.51966,0.89444,12.52921,401.65801,654.21250,2.71020,102.58754,399.15028,3.11909,0.64774,11.38384,27.23538,9.23657,642.82865,0.12407,2.22346,0.23452,9.58404,142.04302,0.12968,0.20950,0.02194,0.08406,0.05327,0.03340,0.08824,0.00751,0.06015,0.00973,0.02351,0.00620,0.06198,0.00875,0.01630,19094.92751
S1_R2 H5 NTH1/3,nth,0.02748,36.16246,17144.43730,73106.14303,0.78929,8.45915,390.00542,622.37866,3.64941,74.19131,494.98716,3.58881,0.54304,9.01392,47.62893,9.18045,681.38518,0.09843,2.27531,0.12220,10.77015,136.34088,0.12620,0.20254,0.01974,0.11055,0.06031,0.02613,0.06066,0.01120,0.04840,0.01003,0.03253,0.01008,0.07282,0.00681,0.00535,20008.04323
S1_R2 H5 NTH2/1,nth,0.11262,40.49772,16278.91092,56809.23250,0.94308,4.93205,319.12093,520.64944,3.44328,93.93350,518.77545,2.58184,0.58361,7.84392,33.66098,10.75644,564.31407,0.09798,2.08086,0.29912,7.87993,127.95401,0.12434,0.13403,0.02952,0.07706,0.05378,0.02122,0.08959,0.00795,0.04566,0.01258,0.02577,0.01038,0.02936,0.00904,0.03434,18200.45739
S1_R2 H5 NTH2/2,nth,0.01498,36.25248,18034.87235,75608.38857,0.71848,6.42959,351.02480,547.47781,3.77560,133.45118,615.80874,2.80020,0.34300,8.55965,30.89521,9.64215,585.22070,0.07004,2.02843,0.28917,7.26341,124.55424,0.14315,0.18962,0.01914,0.10231,0.03053,0.01818,0.06801,0.01316,0.03839,0.00906,0.03450,0.00783,0.06469,0.01019,0.04779,19035.57809
S1_R2 H5 NTH2/3,nth,0.06622,32.22154,18895.25421,63106.87990,0.85551,7.07326,266.30261,517.20621,3.03849,52.33630,617.40824,3.25067,0.58049,4.41936,25.84870,9.54750,575.42959,0.09289,1.59319,0.11025,7.58209,119.36849,0.13950,0.17951,0.02608,0.07490,0.04544,0.03027,0.08182,0.00803,0.05528,0.00764,0.02824,0.01287,0.06562,0.00930,0.01838,20547.88281
S1_R2 H5 NTH3/1,nth,0.04537,27.39220,18236.51461,47593.85059,0.88656,8.48234,344.65016,650.56371,2.98322,47.47561,498.98221,2.82762,0.80022,6.78609,24.03217,13.66997,451.59632,0.06638,2.79851,0.15636,7.81491,101.55731,0.08390,0.21477,0.01615,0.11433,0.05964,0.02467,0.07677,0.01075,0.02940,0.00700,0.02557,0.00744,0.06300,0.00879,0.01666,20882.16016
S1_R2 H5 NTH3/2,nth,0.04465,26.91597,17153.04011,44193.36839,0.83894,8.78431,371.56663,657.52349,3.66364,224.22271,570.79033,2.83292,0.48661,5.62335,47.23797,14.71150,433.33735,0.10011,1.98891,0.11530,9.22376,99.06903,0.15058,0.19174,0.02386,0.08848,0.07135,0.03075,0.03773,0.00720,0.04014,0.00900,0.03304,0.01063,0.03687,0.00834,0.07050,21643.12015
S1_R2 H5 NTH3/3,nth,0.03927,39.55486,18776.15773,40824.45798,1.00305,11.22771,490.65486,621.08417,4.05719,60.00478,577.19080,2.29286,0.56481,10.37338,31.37051,20.78227,404.72936,0.10205,2.37578,0.15221,8.08428,102.73481,0.07956,0.10591,0.02834,0.08062,0.03661,0.02396,0.06395,0.00525,0.04648,0.01116,0.01620,0.01048,0.02584,0.01075,0.00722,21391.17400
S1_R4 H5 PM1/1,pm,0.02438,29.32939,30841.39231,27000.44268,0.87586,10.98605,1048.63710,510.27730,2.32738,97.56474,323.90208,2.50502,1.02250,8.53105,28.02827,96.08824,255.30917,0.12363,6.20007,0.10838,9.70841,71.94736,0.11168,0.18430,0.01772,0.09929,0.06006,0.03025,0.07360,0.00863,0.04797,0.01717,0.02236,0.00736,0.04840,0.00659,0.00930,30771.42159
S1_R4 H5 PM1/2,pm,0.06136,33.47748,22529.01665,30850.77647,0.82140,10.49297,1126.15856,634.39771,2.93040,80.48920,279.73328,2.05713,0.66744,10.99203,20.64471,90.27241,388.46365,0.08833,5.89712,0.21679,8.62385,93.94128,0.11186,0.16124,0.02416,0.07419,0.06111,0.02158,0.06226,0.00781,0.05404,0.00977,0.02756,0.00936,0.03244,0.01375,0.01396,27528.72371
